Time, Marker
1690475.827451, CalValue:1.3358
1690475.859734, CalValue:1.3807
1690475.888907, CalValue:1.3133
1690475.915475, CalValue:1.2555
1690475.943233, CalValue:1.1881
1690475.970029, CalValue:1.1955
1690475.998620, CalValue:1.1986
1690476.024922, CalValue:1.2112
1690476.052058, CalValue:1.2772
1690476.078341, CalValue:1.2644
1690476.104701, CalValue:1.3272
1690476.131152, CalValue:1.2167
1690476.157910, CalValue:1.1919
1690476.185323, CalValue:1.1935
1690476.212428, CalValue:1.1454
1690476.238586, CalValue:1.2463
1690476.264924, CalValue:1.2732
1690476.291951, CalValue:1.2542
1690476.318419, CalValue:1.2426
1690476.345379, CalValue:1.2266
1690476.371917, CalValue:1.2502
1690476.398049, CalValue:1.1848
1690476.425011, CalValue:1.1703
1690476.453012, CalValue:1.1132
1690476.479395, CalValue:1.1683
1690476.505910, CalValue:1.1833
1690476.532025, CalValue:1.0162
1690476.558629, CalValue:0.98849
1690476.587071, CalValue:1.0512
1690476.613248, CalValue:1.1448
1690476.641150, CalValue:1.1637
1690476.667408, CalValue:1.2883
1690476.693802, CalValue:1.2884
1690476.722047, CalValue:1.2473
1690476.749374, CalValue:1.2122
1690476.776366, CalValue:1.2394
1690476.802523, CalValue:1.1792
1690476.828891, CalValue:1.2223
1690476.855589, CalValue:1.2516
1690476.881764, CalValue:1.2077
1690476.909538, CalValue:1.1601
1690476.935645, CalValue:1.273
1690476.962594, CalValue:1.1803
1690476.989921, CalValue:1.2106
1690477.016305, CalValue:1.2021
1690477.043493, CalValue:1.214
1690477.069962, CalValue:1.2543
1690477.096093, CalValue:1.1571
1690477.122328, CalValue:1.2322
1690477.148619, CalValue:1.2438
1690477.175742, CalValue:1.2785
1690477.201991, CalValue:1.2506
1690477.228194, CalValue:1.2164
1690477.255379, CalValue:1.2189
1690477.282322, CalValue:1.1339
1690477.310151, CalValue:0.98859
1690477.336598, CalValue:0.9252
1690477.364206, CalValue:0.91951
1690477.390363, CalValue:0.97455
1690477.416777, CalValue:1.1103
1690477.443384, CalValue:1.0541
1690477.469758, CalValue:1.0599
1690477.497349, CalValue:1.0413
1690477.523546, CalValue:0.80336
1690477.550371, CalValue:0.78236
1690477.577082, CalValue:0.88342
1690477.603254, CalValue:0.8371
1690477.629410, CalValue:0.82275
1690477.655764, CalValue:0.9193
1690477.681840, CalValue:1.0042
1690477.709455, CalValue:1.0481
1690477.736048, CalValue:0.97982
1690477.763182, CalValue:0.94106
1690477.789888, CalValue:0.92246
1690477.817238, CalValue:0.90449
1690477.844462, CalValue:0.93373
1690477.870689, CalValue:0.91559
1690477.897309, CalValue:0.90338
1690477.927818, CalValue:0.92833
1690477.960841, CalValue:0.9577
1690477.993610, CalValue:0.92504
1690478.027613, CalValue:1.0334
1690478.056668, CalValue:1.0623
1690478.083688, CalValue:1.0466
1690478.112657, CalValue:1.0327
1690478.139474, CalValue:1.1591
